time rv rv_err
0.00000000 0.16865554 1.50000000
2.00000000 0.59184065 1.50000000
4.00000000 0.85042772 1.50000000
6.00000000 1.80367411 1.50000000
8.00000000 1.87457249 1.50000000
10.00000000 0.94190502 1.50000000
12.00000000 0.56521396 1.50000000
14.00000000 0.13326720 1.50000000
16.00000000 -2.22815553 1.50000000
18.00000000 0.69859686 1.50000000
20.00000000 -0.81819489 1.50000000
22.00000000 -2.29210673 1.50000000
24.00000000 -2.11582333 1.50000000
26.00000000 -0.34557807 1.50000000
28.00000000 -1.04934958 1.50000000
30.00000000 -1.71338493 1.50000000
32.00000000 1.93234312 1.50000000
34.00000000 -0.16930520 1.50000000
36.00000000 -0.35820285 1.50000000
38.00000000 1.17482697 1.50000000
40.00000000 -2.00888061 1.50000000
42.00000000 2.30328156 1.50000000
44.00000000 -0.08720721 1.50000000
46.00000000 -1.99474436 1.50000000
48.00000000 -0.74463212 1.50000000
50.00000000 -2.62016488 1.50000000
52.00000000 0.91895399 1.50000000
54.00000000 -0.47166272 1.50000000
56.00000000 -1.57870933 1.50000000
58.00000000 -1.27847362 1.50000000
60.00000000 0.24321700 1.50000000
62.00000000 -1.18238625 1.50000000
64.00000000 -2.53182168 1.50000000
66.00000000 0.79335081 1.50000000
68.00000000 0.97496722 1.50000000
70.00000000 -1.86043369 1.50000000
72.00000000 -1.79372222 1.50000000
74.00000000 2.59801726 1.50000000
76.00000000 0.13675714 1.50000000
78.00000000 0.60388787 1.50000000
80.00000000 0.57672054 1.50000000
82.00000000 -0.47386074 1.50000000
84.00000000 -0.95599933 1.50000000
86.00000000 -0.12825462 1.50000000
88.00000000 0.72395196 1.50000000
90.00000000 -0.35052642 1.50000000
92.00000000 3.51546595 1.50000000
94.00000000 2.80022601 1.50000000
96.00000000 1.91701059 1.50000000
98.00000000 -0.53114296 1.50000000
260.00000000 -0.84719075 1.50000000
262.00000000 2.32699225 1.50000000
264.00000000 1.56807556 1.50000000
266.00000000 1.75948044 1.50000000
268.00000000 -0.09934167 1.50000000
270.00000000 -1.47144900 1.50000000
272.00000000 0.36315797 1.50000000
274.00000000 -0.87248358 1.50000000
276.00000000 -0.37994711 1.50000000
278.00000000 0.06237994 1.50000000
280.00000000 1.11080709 1.50000000
282.00000000 -0.12926476 1.50000000
284.00000000 -2.24822573 1.50000000
286.00000000 2.12815234 1.50000000
288.00000000 0.16804744 1.50000000
290.00000000 1.69919497 1.50000000
292.00000000 -2.56602604 1.50000000
294.00000000 -2.14230095 1.50000000
296.00000000 1.30271849 1.50000000
298.00000000 -0.49284274 1.50000000
300.00000000 -0.57024956 1.50000000
302.00000000 -0.42940901 1.50000000
304.00000000 -0.68749660 1.50000000
306.00000000 1.66738861 1.50000000
308.00000000 0.44327821 1.50000000
310.00000000 -0.71355048 1.50000000
312.00000000 1.45302707 1.50000000
314.00000000 -0.02082754 1.50000000
316.00000000 0.44572705 1.50000000
318.00000000 -1.76288732 1.50000000
320.00000000 -1.59836687 1.50000000
322.00000000 0.81810149 1.50000000
324.00000000 1.44570588 1.50000000
326.00000000 -1.29280311 1.50000000
328.00000000 2.71686844 1.50000000
330.00000000 -2.12174869 1.50000000
332.00000000 0.09643918 1.50000000
334.00000000 0.92228643 1.50000000
336.00000000 1.02564142 1.50000000
338.00000000 1.34927147 1.50000000
340.00000000 -1.08770337 1.50000000
342.00000000 0.36623539 1.50000000
344.00000000 -2.16680577 1.50000000
346.00000000 2.62581955 1.50000000
348.00000000 0.20800765 1.50000000
350.00000000 1.73612767 1.50000000
352.00000000 0.25818897 1.50000000
354.00000000 0.56203300 1.50000000
356.00000000 1.94384962 1.50000000
358.00000000 -1.45821205 1.50000000
